NOME_DO_CURSO,MODALIDADE,TURNO,CIDADE,LOCAL,PRECO,PRECO_COM_DESCONTO
Banco de Dados,TOTAL EAD,VIRTUAL,TORRES,CENTRO,447.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TORRES,CENTRO,447.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TRAMANDAI,CENTRO,441.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TRAMANDAI,CENTRO,441.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TRAMANDAI,CENTRO,441.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VENANCIO AIRES,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VENANCIO AIRES,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VENANCIO AIRES,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VERA CRUZ,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VERA CRUZ,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VERA CRUZ,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VIAMAO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VIAMAO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,VIAMAO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,XANGRI-LÁ,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,XANGRI-LÁ,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,XANGRI-LÁ,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ERECHIM,CENTRO,371.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ERECHIM,CENTRO,371.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,ERECHIM,CENTRO,371.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,CENTRO,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,CENTRO,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,GRAVATAÍ,CENTRO,464.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MONTENEGRO,CENTRO,459.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MONTENEGRO,CENTRO,459.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,MONTENEGRO,CENTRO,459.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,XANGRI-LÁ,CENTRO ,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,XANGRI-LÁ,CENTRO ,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,XANGRI-LÁ,CENTRO ,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PELOTAS,CENTRO,426.5,139.0
